Seconds, CPU, Memory
0, 0.0, 0.0
5, 92.5, 0.0
10, 91.3, 0.0
15, 91.8, 0.0
20, 87.5, 0.0
25, 86.8, 0.0
30, 87.3, 0.0
35, 87.6, 0.0
40, 89.2, 0.0
45, 90.7, 0.0
50, 90.3, 0.0
55, 91.5, 0.0
60, 90.9, 0.0
65, 88.9, 0.0
70, 82.2, 0.0
75, 77.4, 0.0
80, 73.1, 0.0
85, 69.2, 0.0
90, 65.8, 0.0
95, 62.0, 0.0
100, 59.2, 0.0
105, 56.7, 0.0
110, 57.6, 0.0
115, 59.3, 0.0
120, 60.7, 0.0
125, 62.0, 0.0
130, 63.2, 0.0
135, 64.3, 0.0
140, 65.2, 0.0
145, 66.4, 0.0
150, 67.2, 0.0
155, 68.2, 0.0
160, 68.9, 0.0
165, 69.9, 0.0
170, 69.6, 0.0
175, 67.4, 0.0
180, 65.8, 0.0
185, 64.2, 0.0
190, 62.6, 0.0
195, 60.9, 0.0
200, 59.5, 0.0
205, 58.2, 0.0
210, 58.3, 0.0
215, 58.8, 0.0
220, 58.8, 0.0
225, 59.4, 0.0
230, 59.8, 0.0
235, 60.4, 0.0
240, 60.3, 0.0
245, 60.4, 0.0
250, 61.0, 0.0
255, 61.8, 0.0
260, 62.3, 0.0
265, 63.0, 0.0
270, 63.4, 0.0
275, 63.8, 0.0
280, 62.8, 0.0
285, 61.6, 0.0
290, 60.6, 0.0
295, 59.7, 0.0
300, 58.8, 0.0
305, 57.9, 0.0
310, 56.9, 0.0
315, 56.6, 0.0
320, 57.2, 0.0
325, 57.7, 0.0
330, 58.2, 0.0
335, 58.7, 0.0
340, 59.1, 0.0
345, 59.6, 0.0
350, 60.1, 0.0
355, 60.7, 0.0
360, 61.1, 0.0
365, 61.7, 0.0
370, 62.0, 0.0
375, 62.6, 0.0
380, 62.8, 0.0
385, 62.0, 0.0
390, 61.3, 0.0
395, 60.6, 0.0
400, 59.8, 0.0
405, 59.1, 0.0
410, 58.5, 0.0
415, 58.7, 0.0
420, 59.1, 0.0
425, 59.6, 0.0
430, 60.1, 0.0
435, 60.4, 0.0
440, 60.9, 0.0
445, 61.3, 0.0
450, 61.6, 0.0
455, 61.8, 0.0
460, 62.2, 0.0
465, 62.5, 0.0
470, 63.0, 0.0
475, 63.4, 0.0
480, 63.2, 0.0
485, 62.6, 0.0
490, 62.0, 0.0
495, 61.4, 0.0
500, 60.8, 0.0
505, 60.2, 0.0
510, 59.7, 0.0
515, 59.2, 0.0
520, 59.5, 0.0
525, 59.9, 0.0
530, 60.2, 0.0
535, 60.5, 0.0
540, 60.8, 0.0
545, 61.0, 0.0
550, 61.2, 0.0
555, 61.6, 0.0
560, 61.8, 0.0
565, 62.1, 0.0
570, 62.3, 0.0
575, 62.6, 0.0
580, 62.7, 0.0
585, 62.1, 0.0
590, 61.7, 0.0
595, 61.2, 0.0
600, 60.7, 0.0
605, 60.2, 0.0
610, 59.8, 0.0
615, 60.2, 0.0
620, 60.5, 0.0
625, 60.7, 0.0
630, 61.0, 0.0
635, 61.3, 0.0
640, 61.6, 0.0
645, 61.8, 0.0
650, 62.0, 0.0
655, 62.1, 0.0
660, 62.3, 0.0
665, 62.5, 0.0
670, 62.8, 0.0
675, 62.4, 0.0
680, 61.9, 0.0
685, 61.4, 0.0
690, 61.0, 0.0
695, 60.6, 0.0
700, 60.2, 0.0
705, 60.4, 0.0
710, 60.7, 0.0
715, 60.9, 0.0
720, 61.2, 0.0
725, 61.4, 0.0
730, 61.7, 0.0
735, 61.7, 0.0
740, 61.9, 0.0
745, 62.1, 0.0
750, 62.2, 0.0
755, 62.4, 0.0
760, 62.6, 0.0
765, 62.6, 0.0
770, 62.2, 0.0
775, 61.9, 0.0
780, 61.4, 0.0
785, 61.1, 0.0
790, 60.7, 0.0
795, 60.3, 0.0
800, 60.0, 0.0
805, 59.8, 0.0
810, 60.0, 0.0
815, 60.2, 0.0
820, 60.4, 0.0
825, 60.6, 0.0
830, 60.8, 0.0
835, 60.9, 0.0
840, 60.9, 0.0
845, 60.8, 0.0
850, 60.8, 0.0
855, 60.8, 0.0
860, 60.8, 0.0
865, 60.5, 0.0
870, 60.1, 0.0
875, 59.8, 0.0
880, 59.4, 0.0
885, 59.1, 0.0
890, 58.8, 0.0
895, 58.5, 0.0
900, 58.4, 0.0
905, 58.6, 0.0
910, 58.8, 0.0
915, 59.0, 0.0
920, 59.2, 0.0
925, 59.3, 0.0
930, 59.3, 0.0
935, 59.3, 0.0
940, 59.4, 0.0
945, 59.3, 0.0
950, 59.3, 0.0
955, 59.0, 0.0
