Seconds, CPU, Memory
0, 0.0, 0.1
5, 0.0, 0.1
10, 0.0, 0.2
15, 0.0, 0.2
20, 0.0, 0.2
25, 0.0, 0.2
30, 0.0, 0.2
35, 0.0, 0.3
40, 0.0, 0.3
45, 0.0, 0.3
50, 0.0, 0.3
55, 0.0, 0.4
60, 0.0, 0.4
65, 0.0, 0.4
70, 0.0, 0.5
75, 0.0, 0.5
80, 0.0, 0.5
85, 0.0, 0.5
90, 0.0, 0.5
95, 0.0, 0.5
100, 0.0, 0.5
105, 0.0, 0.6
110, 0.0, 0.6
115, 0.0, 0.6
120, 0.0, 0.6
125, 0.0, 0.6
130, 0.0, 0.6
135, 0.0, 0.7
140, 0.0, 0.7
145, 0.0, 0.7
150, 0.0, 0.7
155, 0.0, 0.7
160, 0.0, 0.9
165, 0.0, 0.9
170, 0.0, 0.9
175, 0.0, 0.9
180, 0.0, 0.9
185, 0.0, 0.9
190, 0.0, 0.9
195, 0.0, 1.0
200, 0.0, 1.0
205, 0.0, 1.0
210, 0.0, 1.0
215, 0.0, 1.0
220, 0.0, 1.1
225, 0.0, 1.1
230, 0.0, 1.1
235, 0.0, 1.1
240, 0.0, 1.1
245, 0.0, 1.2
250, 0.0, 1.3
255, 0.0, 1.3
260, 0.0, 1.3
265, 0.0, 1.4
270, 0.0, 1.5
275, 0.0, 1.5
280, 0.0, 1.5
285, 0.0, 1.5
290, 0.0, 1.5
295, 0.0, 1.5
300, 0.0, 1.6
305, 0.0, 1.6
310, 0.0, 1.6
315, 0.0, 1.6
320, 0.0, 1.7
325, 0.0, 1.7
330, 0.0, 1.7
335, 0.0, 1.7
340, 0.0, 1.8
345, 0.0, 1.8
350, 0.0, 1.9
355, 0.0, 1.9
360, 0.0, 1.9
365, 0.0, 1.9
370, 0.0, 1.9
375, 0.0, 2.0
380, 0.0, 2.0
385, 0.0, 2.0
390, 0.0, 2.1
395, 0.0, 2.1
400, 0.0, 2.1
405, 0.0, 2.1
410, 0.0, 2.2
415, 0.0, 2.2
420, 0.0, 2.2
425, 0.0, 2.2
430, 0.0, 2.2
435, 0.0, 2.2
440, 0.0, 2.3
445, 0.0, 2.3
450, 0.0, 2.3
455, 0.0, 2.3
460, 0.0, 2.4
465, 0.0, 2.4
470, 0.0, 2.4
475, 0.0, 2.5
480, 0.0, 2.5
485, 0.0, 2.6
490, 0.0, 2.6
495, 0.0, 2.6
500, 0.0, 2.6
505, 0.0, 2.6
510, 0.0, 2.7
515, 0.0, 2.7
520, 0.0, 2.7
525, 0.0, 2.7
530, 0.0, 2.7
535, 0.0, 2.8
540, 0.0, 2.8
545, 0.0, 2.9
550, 0.0, 2.9
555, 0.0, 2.9
560, 0.0, 2.9
565, 0.0, 3.0
570, 0.0, 3.0
575, 0.0, 3.0
580, 0.0, 3.0
585, 0.0, 3.0
590, 0.0, 3.1
595, 0.0, 3.1
600, 0.0, 3.1
605, 0.0, 3.1
610, 0.0, 3.2
615, 0.0, 3.2
620, 0.0, 3.2
625, 0.0, 3.2
630, 0.0, 3.2
635, 0.0, 3.3
640, 0.0, 3.3
645, 0.0, 3.3
650, 0.0, 3.4
655, 0.0, 3.4
660, 0.0, 3.4
665, 0.0, 3.4
670, 0.0, 3.4
675, 0.0, 3.5
680, 0.0, 3.5
685, 0.0, 3.5
690, 0.0, 3.5
695, 0.0, 3.5
700, 0.0, 3.6
705, 0.0, 3.6
710, 0.0, 3.6
715, 0.0, 3.6
720, 0.0, 3.6
725, 0.0, 3.7
730, 0.0, 3.7
735, 0.0, 3.7
740, 0.0, 3.8
745, 0.0, 3.8
750, 0.0, 3.8
755, 0.0, 3.8
760, 0.0, 3.8
765, 0.0, 3.8
770, 0.0, 3.9
775, 0.0, 3.9
780, 0.0, 4.0
785, 0.0, 4.0
790, 0.0, 4.0
795, 0.0, 4.0
800, 0.0, 4.0
805, 0.0, 4.1
810, 0.0, 4.1
815, 0.0, 4.1
820, 0.0, 4.1
825, 0.0, 4.1
830, 0.0, 4.2
835, 0.0, 4.2
840, 0.0, 4.2
845, 0.0, 4.2
850, 0.0, 4.3
855, 0.0, 4.3
860, 0.0, 4.4
865, 0.0, 4.4
870, 0.0, 4.4
875, 0.0, 4.4
880, 0.0, 4.5
885, 0.0, 4.5
890, 0.0, 4.6
895, 0.0, 4.7
900, 0.0, 4.7
905, 0.0, 4.7
910, 0.0, 4.7
915, 0.0, 4.7
920, 0.0, 4.8
925, 0.0, 4.8
930, 0.0, 4.9
935, 0.0, 4.9
940, 0.0, 4.9
945, 0.0, 5.0
950, 0.0, 5.0
955, 0.0, 5.1
