Seconds, CPU, Memory
0, 0.0, 4.8
5, 89.5, 4.8
10, 87.6, 4.8
15, 87.6, 4.8
20, 87.4, 4.8
25, 88.1, 4.8
30, 88.8, 4.8
35, 87.4, 0.0
40, 78.1, 0.0
45, 69.2, 0.0
50, 63.3, 0.0
55, 57.3, 0.0
60, 53.2, 0.0
65, 49.6, 0.0
70, 45.9, 0.0
75, 43.2, 0.0
80, 40.8, 0.0
85, 38.6, 0.0
90, 36.3, 0.0
95, 34.6, 0.0
100, 33.0, 0.0
105, 32.5, 4.6
110, 35.0, 4.6
115, 37.5, 4.6
120, 39.6, 4.6
125, 41.6, 4.6
130, 43.5, 4.6
135, 45.1, 4.6
140, 45.7, 0.0
145, 44.0, 0.0
150, 42.7, 0.0
155, 41.5, 0.0
160, 40.1, 0.0
165, 39.0, 0.0
170, 37.8, 0.0
175, 36.8, 0.0
180, 35.9, 0.0
185, 35.1, 0.0
190, 34.2, 0.0
195, 33.3, 0.0
200, 32.5, 0.0
205, 31.8, 0.0
210, 31.1, 0.0
215, 31.3, 5.2
220, 32.0, 5.2
225, 33.5, 5.2
230, 34.6, 5.2
235, 36.0, 5.2
240, 36.4, 5.2
245, 37.1, 5.2
250, 38.1, 0.0
255, 37.3, 0.0
260, 36.6, 0.0
265, 36.0, 0.0
270, 35.3, 0.0
275, 34.7, 0.0
280, 34.1, 0.0
285, 33.5, 0.0
290, 33.0, 0.0
295, 32.5, 0.0
300, 32.0, 0.0
305, 31.4, 0.0
310, 31.0, 0.0
315, 31.1, 5.2
320, 32.1, 5.2
325, 33.0, 5.2
330, 33.9, 5.2
335, 34.8, 5.2
340, 35.6, 0.0
345, 35.1, 0.0
350, 34.6, 0.0
355, 34.1, 0.0
360, 33.7, 0.0
365, 33.2, 0.0
370, 32.8, 0.0
375, 32.4, 0.0
380, 31.9, 0.0
385, 31.5, 0.0
390, 31.2, 0.0
395, 30.8, 0.0
400, 30.4, 0.0
405, 30.1, 0.0
410, 29.7, 0.0
415, 29.3, 0.0
420, 29.0, 0.0
425, 29.5, 3.5
430, 30.1, 3.5
435, 30.8, 3.5
440, 31.4, 3.5
445, 32.1, 3.5
450, 32.8, 3.5
455, 32.9, 0.0
460, 32.5, 0.0
465, 32.2, 0.0
470, 31.8, 0.0
475, 31.5, 0.0
480, 31.2, 0.0
485, 30.9, 0.0
490, 30.6, 0.0
495, 30.3, 0.0
500, 30.0, 0.0
505, 29.7, 0.0
510, 29.5, 0.0
515, 29.2, 0.0
520, 28.9, 0.0
525, 28.7, 0.0
530, 28.4, 0.0
535, 28.7, 4.4
540, 29.4, 4.4
545, 30.0, 4.4
550, 30.5, 4.4
555, 31.0, 4.4
560, 31.6, 4.4
565, 32.1, 4.4
570, 32.1, 0.0
575, 31.8, 0.0
580, 31.6, 0.0
585, 31.3, 0.0
590, 31.0, 0.0
595, 30.8, 0.0
600, 30.6, 0.0
605, 30.3, 0.0
610, 30.1, 0.0
615, 29.8, 0.0
620, 29.6, 0.0
625, 29.4, 0.0
630, 29.2, 0.0
635, 28.9, 0.0
640, 29.4, 4.0
645, 29.9, 4.0
650, 30.5, 4.0
655, 31.0, 4.0
660, 31.5, 4.0
665, 31.7, 0.0
670, 31.5, 0.0
675, 31.2, 0.0
680, 31.0, 0.0
685, 30.8, 0.0
690, 30.6, 0.0
695, 30.4, 0.0
700, 30.2, 0.0
705, 30.0, 0.0
710, 29.8, 0.0
715, 29.6, 0.0
720, 29.4, 0.0
725, 29.1, 0.0
730, 29.0, 0.0
735, 29.0, 4.4
740, 29.4, 4.4
745, 29.9, 4.8
750, 30.2, 4.8
755, 30.6, 5.2
760, 31.0, 5.2
765, 31.1, 0.0
770, 30.9, 0.0
775, 30.7, 0.0
780, 30.5, 0.0
785, 30.4, 0.0
790, 30.2, 0.0
795, 30.0, 0.0
800, 29.8, 0.0
805, 29.6, 0.0
810, 29.4, 0.0
815, 29.2, 0.0
820, 29.0, 0.0
825, 28.8, 0.0
830, 28.6, 0.0
835, 28.5, 4.5
840, 28.7, 4.5
845, 29.1, 4.5
850, 29.4, 4.5
855, 29.6, 4.5
860, 29.7, 0.0
865, 29.5, 0.0
870, 29.4, 0.0
875, 29.2, 0.0
880, 29.1, 0.0
885, 28.9, 0.0
890, 28.7, 0.0
895, 28.6, 0.0
900, 28.4, 0.0
905, 28.2, 0.0
910, 28.1, 0.0
915, 27.9, 0.0
920, 27.8, 0.0
925, 27.7, 4.5
930, 27.8, 4.5
935, 28.0, 4.5
940, 28.2, 4.5
945, 28.4, 4.5
950, 28.6, 4.5
955, 28.4, 0.0
