Seconds,RX Data Rate (kB/s),TX Data Rate (kB/s),Disk Writes (kB/s),Available Disk Capacity (MB)
0, 25186, 0,  254.34, 17985
5, 310, 0,  252.82, 17985
10, 1458, 0,  251.34, 17985
15, 1820, 0,  250.22, 17985
20, 2415, 0,  248.81, 17985
25, 701, 0,  247.47, 17985
30, 0, 0,  247.69, 17985
35, 99, 0,  246.30, 17985
40, 71, 0,  244.91, 17985
45, 13097, 0,  244.73, 17985
50, 84, 0,  243.52, 17985
55, 525, 0,  242.23, 17985
60, 180, 0,  241.91, 17929
65, 183, 0,  240.64, 17737
70, 997, 0,  427.94, 17738
75, 1273, 0,  434.89, 17481
80, 672, 0,  639.73, 17482
85, 1476, 0,  646.13, 16968
90, 260, 0,  861.42, 16970
95, 2158, 0,  1002.48, 16970
100, 129841, 0,  997.37, 16970
105, 443, 0,  1032.85, 16970
110, 71, 0,  1189.75, 16970
115, 337, 0,  1259.63, 15941
120, 670, 0,  1408.40, 15946
125, 4587, 0,  1426.77, 15946
130, 3528, 0,  1603.86, 15946
135, 4222, 0,  1614.03, 15946
140, 0, 0,  1781.37, 15946
145, 238, 75,  1827.11, 15946
150, 6394, 0,  1899.92, 15946
155, 270, 0,  2019.90, 15946
160, 242, 0,  2029.99, 15945
165, 0, 0,  2189.05, 15946
170, 0, 0,  2202.51, 13889
175, 3743, 0,  2387.57, 13898
180, 0, 0,  2376.15, 13898
185, 3230, 0,  2547.56, 13898
190, 441, 0,  2535.52, 13898
195, 4259, 0,  2723.17, 13898
200, 782, 0,  2710.40, 13897
205, 5411, 0,  2744.50, 13897
210, 529, 0,  2875.34, 13897
215, 2428, 0,  2897.13, 13897
220, 35102, 0,  3039.75, 13897
225, 621, 0,  3037.69, 13897
230, 743, 0,  3199.92, 13897
235, 458, 66,  3196.66, 13897
240, 86, 0,  3366.85, 13897
245, 0, 0,  3351.30, 13897
250, 360, 0,  3509.25, 13897
255, 455, 0,  3493.64, 13897
260, 172, 0,  3568.68, 13897
265, 82, 0,  3642.98, 13897
270, 114, 0,  3696.89, 13897
275, 292, 0,  3798.08, 13897
280, 6734, 0,  3824.83, 9785
285, 112, 0,  3950.09, 9801
290, 283, 0,  3965.09, 9801
295, 82, 0,  4091.69, 9801
300, 233, 0,  4084.93, 9801
305, 0, 0,  4256.05, 9801
310, 161, 0,  4252.17, 9801
315, 312, 0,  4429.46, 9801
320, 413, 0,  4410.84, 9801
325, 229, 0,  4447.86, 9801
330, 494, 0,  4559.14, 9801
335, 71, 0,  4554.11, 9801
340, 6260, 0,  4694.51, 9801
345, 82, 0,  4688.87, 9801
350, 625, 0,  4811.72, 9801
355, 0, 0,  4791.52, 9801
360, 1787, 0,  4925.59, 9801
365, 60, 0,  4925.76, 9801
370, 243, 0,  5056.92, 9801
375, 251, 0,  5036.15, 9801
380, 262, 0,  5075.76, 9801
385, 115, 0,  5173.26, 9801
390, 91, 0,  5182.33, 9801
395, 0, 0,  5294.70, 9801
400, 211, 0,  5293.67, 9801
405, 131, 0,  5427.47, 9801
410, 172, 0,  5406.14, 9801
415, 0, 0,  5554.40, 9801
420, 82, 0,  5532.83, 9801
425, 0, 0,  5549.69, 9801
430, 730, 0,  5642.87, 9801
435, 459, 0,  5646.67, 9801
440, 464, 0,  5754.48, 9801
445, 26293, 0,  5732.64, 9801
450, 966, 0,  5857.17, 9801
455, 1105, 0,  5834.98, 9801
460, 71, 0,  5986.89, 9801
465, 51857, 0,  5963.88, 9801
470, 254, 0,  5989.67, 9801
475, 0, 0,  6051.41, 9801
480, 214, 0,  6064.89, 9801
485, 131, 0,  6162.93, 9801
490, 28308, 0,  6167.27, 9801
495, 1050, 0,  6261.09, 9801
500, 2016, 0,  6265.84, 5689
505, 180, 0,  6365.92, 5704
510, 196, 0,  6369.72, 5704
515, 546, 0,  6466.47, 5704
520, 341, 0,  6443.00, 5704
525, 83, 0,  6562.30, 5704
530, 652, 0,  6538.79, 5704
535, 107, 0,  6665.10, 5704
540, 71, 0,  6641.43, 5704
545, 0, 0,  6733.05, 5704
550, 187, 0,  6734.19, 5704
555, 1051, 0,  6742.42, 5704
560, 172, 0,  6822.66, 5704
565, 260, 0,  6821.72, 5704
570, 114, 0,  6917.66, 5704
575, 0, 0,  6905.23, 5703
580, 82, 0,  7021.17, 5703
585, 167, 0,  7010.64, 5703
590, 286, 0,  7108.92, 5703
595, 71, 0,  7095.26, 5703
600, 0, 0,  7196.86, 5703
605, 263, 0,  7183.30, 5703
610, 105, 0,  7280.14, 5703
615, 829, 0,  7254.65, 5703
620, 71, 0,  7377.25, 5703
625, 0, 0,  7352.45, 5703
630, 375, 0,  7377.31, 5703
635, 150, 0,  7454.33, 5703
640, 713, 0,  7454.27, 5703
645, 2231, 0,  7543.65, 5703
650, 0, 0,  7543.77, 5703
655, 103, 0,  7646.10, 5703
660, 269, 0,  7637.39, 5703
